ProductName,ProductModuleName,EditionName,UsageDescription,UsageUnit,CostUSD,CostUnit,IITProductCode,IITProductModuleName,IITEditionName,CustomerID,MarginPercent,MinMargin,IITRrpAUD,CompliantWithPlan,IITMaterialCode,BillingNotes
SaaS Apps and Endpoints,Google Workspaces,Elite,Active Users,Users,1.77,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4.8,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Google Workspaces,Elite,Preserved Users,Users,0.9,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Google Workspaces,Elite,Unlimited Storage,Users,1.44,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Google Workspaces,Elite,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Elite,Security Posture & Observability,Users,1.69,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Elite,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Premium,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Active Users,Users,1.52,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4.2,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Preserved Users,Users,0.9,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Unlimited Storage,Users,1.44,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Security Posture & Observability,Users,1.69,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Enterprise,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Advanced,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Business,Active Users,Users,0.96,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,2.7,TRUE,02,Includes 20GB of pooled storage
SaaS Apps and Endpoints,Google Workspaces,Business,Preserved Users,Users,0.9,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,5,TRUE,02,"Includes 50GB of pooled storage, on Basic plan preserved users charged as active users"
SaaS Apps and Endpoints,Google Workspaces,Business,Unlimited Storage,Users,1.44,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,4,FALSE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Google Workspaces,Business,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Business,Security Posture & Observability,Users,1.69,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,4.6,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Google Workspaces,Business,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-GW,Backup-as-a-Service for Google Workspaces,Basic,,70,30,9.2,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Elite,Active Users,Users,4.5,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,65,30,11.9,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Endpoints,Elite,Preserved Users,Users,0.9,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,65,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Endpoints,Elite,Unlimited Storage,Users,1.44,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Endpoints,Elite,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Elite,Security Posture & Observability,Users,1.69,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Elite,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Premium,,70,30,9.2,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Enterprise,Active Users,Users,3.59,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,65,30,9.5,TRUE,02,Includes 50GB of pooled storage
SaaS Apps and Endpoints,Endpoints,Enterprise,Preserved Users,Users,0.9,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,65,30,2.5,TRUE,02,"Includes 50GB of pooled storage, first 10% of active users is free"
SaaS Apps and Endpoints,Endpoints,Enterprise,Unlimited Storage,Users,1.44,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,4,TRUE,02,"Increases storage to 300GB per user, applies to all users"
SaaS Apps and Endpoints,Endpoints,Enterprise,Sensitive Data Governance,Users,1.46,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,4,FALSE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Enterprise,Security Posture & Observability,Users,1.69,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,4.6,TRUE,02,Overlay across all users
SaaS Apps and Endpoints,Endpoints,Enterprise,Accelerated Ransomware Recovery,Users,3.38,Users/Month,BAAS-EP,Backup-as-a-Service for Endpoints,Advanced,,70,30,9.2,TRUE,02,Overlay across all users
